filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,peak of gauss,blob area,centroid_to_gauss_dist
range233_exp20_1.dng,central,603.217025384213,384.079035123743,4.15024166635715,4.23447166896437,9.87273262505532,602.621110855036,383.246831067066,18.5065272712043,169,1.02356129178184
range233_exp20_10.dng,central,603.19889860105,384.121265120789,4.10925631783015,4.18190609352318,9.76246158535513,602.545867393279,383.217075386013,18.8499273710665,171,1.11535144003894
range233_exp20_11.dng,central,603.189668641158,384.110769452202,4.10238881990945,4.19298018153168,9.76762211188477,602.545118000926,383.278343359556,18.8439337730971,167,1.05279567226677
range233_exp20_12.dng,central,603.146810164029,384.128877392714,4.12070209655701,4.19961143872403,9.79685018177762,602.589085820896,383.162779850746,18.5292780792456,167,1.11552718636493
range233_exp20_13.dng,central,603.195550237136,384.071981377425,4.14611191356957,4.22278800940112,9.85402921939803,602.67668997669,383.181351981352,18.4687035438994,167,1.03074569658036
range233_exp20_14.dng,central,603.109894377344,384.137331790395,4.1733166794156,4.17983379428719,9.8350751128526,602.593146274149,383.298528058878,18.6839884433993,169,0.98520064056188
range233_exp20_15.dng,central,603.184535035133,384.073750575613,4.13437777445553,4.18488425162674,9.79535207667565,602.573407202216,383.17728531856,18.577363498706,169,1.08495492315075
range233_exp20_16.dng,central,603.250554438983,384.077454253371,4.1154308293269,4.18108081408445,9.76869088622245,602.570193401593,383.131740614334,18.6939947271749,171,1.16501735105469
range233_exp20_17.dng,central,603.167836217591,384.122456652387,4.14147478620967,4.16925987799277,9.78518606249573,602.576762523191,383.237940630798,18.584081745801,168,1.06383114480626
range233_exp20_18.dng,central,603.187851894723,384.112443071973,4.0969170494292,4.18674930347052,9.75383440132373,602.56608478803,383.219451371571,18.9428339667662,171,1.08813074212271
range233_exp20_19.dng,central,603.215456467214,384.064778122835,4.11477915340401,4.18453738897294,9.77203275400956,602.602317497103,383.224797219003,18.7388406162228,168,1.03995543917503
range233_exp20_2.dng,central,603.224319694984,384.094397097991,4.14311875268778,4.19381715736093,9.81616245050317,602.540399455288,383.160463004993,18.7425388177584,171,1.1575749584059
range233_exp20_20.dng,central,603.210606117926,384.063031643354,4.15846349763088,4.19838548722732,9.83953905206969,602.701133144476,383.226392823418,18.5863695810087,164,0.979554605777551
range233_exp20_21.dng,central,603.211785163961,384.156656676277,4.14722157791846,4.12833761028571,9.74374083215096,602.53445149592,383.193336355394,18.9391932902465,171,1.17761069054528
range233_exp20_22.dng,central,603.23514482715,384.128482211973,4.12484364840673,4.19556641722278,9.79687716372216,602.654205607477,383.146569409619,18.6490925513296,171,1.14089575701777
range233_exp20_23.dng,central,603.235696503688,384.099523345831,4.11346291126827,4.16630708910274,9.74887186061467,602.570969961018,383.161430864481,18.7903027944806,170,1.14972991615215
range233_exp20_24.dng,central,603.234645509335,384.052540055884,4.12281323823698,4.23236684452967,9.83830742060107,602.577196604726,383.21702225281,18.6258483205102,170,1.06316934748151
range233_exp20_25.dng,central,603.189328155716,384.062641798188,4.16586988673301,4.22735706214294,9.88252368478383,602.608745421245,383.14880952381,18.3762197531136,171,1.0826660321912
range233_exp20_26.dng,central,603.164632903771,384.108347573241,4.14326943644507,4.26885657229657,9.90561414475247,602.608283202221,383.18718186025,18.529933959705,167,1.07613719441548
range233_exp20_27.dng,central,603.168745684795,384.103368691949,4.05241157315575,4.23280095792445,9.75739326777926,602.58926514628,383.280580511403,18.795640105705,169,1.006368761719
range233_exp20_28.dng,central,603.222673525168,384.107516368601,4.0949695765073,4.18821303450406,9.75330925541595,602.663551401869,383.228738317757,18.7499376841694,166,1.04157016633874
range233_exp20_29.dng,central,603.210106781894,384.086104745563,4.10582662310741,4.20838927023372,9.78997500240427,602.625402669121,383.192820984814,18.6553028219685,169,1.06763044950577
range233_exp20_3.dng,central,603.152361915375,384.170271310706,4.14553404342083,4.18730984022551,9.8112862600118,602.53949465058,383.277714545868,18.7477427812823,171,1.08271134782717
range233_exp20_30.dng,central,603.180406955546,384.130169247384,4.13197664502821,4.1389661514798,9.73828356162887,602.646402550091,383.165983606557,18.8904299481609,171,1.10218630685584
range233_exp20_31.dng,central,603.181889086832,384.09891424926,4.09159921647303,4.20154585156147,9.76527930239002,602.583314285714,383.166857142857,18.7425536393962,170,1.10771036021594
range233_exp20_32.dng,central,603.217842464604,384.119833491772,4.09844480919824,4.18303220184275,9.75119177559714,602.632905591201,383.145050412466,18.8799141620263,170,1.13681713462156
range233_exp20_33.dng,central,603.228619736174,384.101180185058,4.1111307716416,4.22233481605676,9.81276852467265,602.597682502897,383.203707995365,18.580326271083,168,1.0970588514791
range233_exp20_34.dng,central,603.2027697308,384.075218746372,4.11367184338279,4.20480424875227,9.79483394181529,602.676819344339,383.171355498721,18.7102996215676,167,1.04574976905201
range233_exp20_35.dng,central,603.220758145149,384.081012186181,4.12976654832566,4.17730785746878,9.78098192831415,602.66543267006,383.193891716798,18.7907496513007,168,1.04659882977253
range233_exp20_36.dng,central,603.188938733128,384.09876607713,4.13923623768915,4.22395708928233,9.84740189876635,602.553624514064,383.276926595015,18.5263889448723,171,1.03877056721344
range233_exp20_37.dng,central,603.17505818239,384.066952139727,4.1200146818329,4.14295404589345,9.72892883700806,602.593463437574,383.216788149542,18.7736110646856,165,1.03006371521673
range233_exp20_38.dng,central,603.177891313166,384.102296525914,4.16515906793141,4.20991945053626,9.86103121963167,602.5998162187,383.192510912015,18.5208352890615,170,1.07790569072654
range233_exp20_39.dng,central,603.194328871965,384.139641233248,4.08866179424069,4.18787746766356,9.74556956526239,602.604458745116,383.171454837968,18.9395716192338,169,1.13372468551858
range233_exp20_4.dng,central,603.213237396921,384.109765923362,4.10672358890719,4.23121607534076,9.81825698972026,602.632137800849,383.291175082586,18.6079750859995,164,1.00387633957383
range233_exp20_40.dng,central,603.230636175572,384.126004777936,4.1349739177438,4.18970698460598,9.8017636463124,602.627122533272,383.173015144562,18.6621074864773,169,1.12801505209863
range233_exp20_41.dng,central,603.195991840752,384.077942298838,4.12252954852653,4.18450756749831,9.78105007080151,602.561464088398,383.253222836096,18.7091323440055,169,1.04057083407803
range233_exp20_42.dng,central,603.23726256117,384.08904760752,4.08738857524994,4.13045047034441,9.67588810373095,602.677276951673,383.22467472119,18.936028522759,167,1.02991473893109
range233_exp20_43.dng,central,603.186290983874,384.14995795752,4.15118750887504,4.11975094270805,9.73834531004639,602.645048814505,383.29079497908,18.7961500613777,167,1.01543296648579
range233_exp20_44.dng,central,603.204434737283,384.096392817425,4.15709245583959,4.2034157245456,9.84388624575057,602.609621993127,383.25040091638,18.6218485880675,170,1.03416850524679
range233_exp20_45.dng,central,603.219476091677,384.088651960529,4.11001439814935,4.16398324422082,9.74208412169786,602.574696865706,383.178220086937,18.6866804178363,171,1.11562827442549
range233_exp20_46.dng,central,603.251269202158,384.100888872046,4.11500816874612,4.22295453530774,9.81801259523597,602.647428438445,383.17477309751,18.5593217673968,167,1.10558314737812
range233_exp20_47.dng,central,603.20287379115,384.129209130517,4.13318463151653,4.18361790719498,9.79245578518886,602.626456477039,383.212017363491,18.6427373864765,171,1.08328096886632
range233_exp20_48.dng,central,603.245585659255,384.025182668967,4.16074100835109,4.1860036925685,9.82757491985146,602.496604798551,383.188773200543,18.4900419638883,173,1.1227435720453
range233_exp20_49.dng,central,603.21231307893,384.050022525814,4.14022593889762,4.23411239207862,9.8606385265057,602.593821510298,383.14233409611,18.4217336587833,171,1.09837612223176
range233_exp20_5.dng,central,603.209074580709,384.092714434002,4.12757400135801,4.19985418261111,9.80515580328665,602.637273150302,383.265239646347,18.5715643259248,167,1.00581877096247
range233_exp20_50.dng,central,603.239686748203,384.135355678246,4.10391786122074,4.18767845887371,9.76309583556762,602.603456328818,383.288183092013,18.8014469250922,166,1.05947653934149
range233_exp20_51.dng,central,603.219205056809,384.08681341875,4.15417134064491,4.17853301705297,9.81104061442519,602.567661346287,383.291695581772,18.529762900455,169,1.0279696403106
range233_exp20_52.dng,central,603.192224067951,384.111302470495,4.13773491777159,4.18415403782579,9.79841696416654,602.54297501719,383.281916112766,18.7110241830588,170,1.05328346626172
range233_exp20_53.dng,central,603.192918998929,384.071227866682,4.09264529500183,4.18587065610704,9.74781479774532,602.563396575659,383.264229523369,18.8296912249172,168,1.02349636418979
